LandUse,BiophysicalCharacteristics,Climate,yield
GL1,inBye,variable,2
GL1,inBye,predictable,3
GL1,upland,variable,1
GL1,upland,predictable,2
GL2,inBye,variable,3
GL2,inBye,predictable,4
GL2,upland,variable,2
GL2,upland,predictable,3
GL3,inBye,variable,4
GL3,inBye,predictable,5
GL3,upland,variable,3
GL3,upland,predictable,4
AL1,inBye,variable,3
AL1,inBye,predictable,4
AL1,upland,variable,0.25
AL1,upland,predictable,0.5
AL2,inBye,variable,4
AL2,inBye,predictable,5
AL2,upland,variable,0.25
AL2,upland,predictable,0.5
AL3,inBye,variable,5
AL3,inBye,predictable,6
AL3,upland,variable,0.25
AL3,upland,predictable,0.5
